iter	RMSE
0	4251.51819
1	4174.177212
2	4099.765482
3	4029.60718
4	3957.963056
5	3885.204994
6	3828.234417
7	3764.617503
8	3708.491017
9	3654.869341
10	3603.962466
11	3550.251551
12	3498.385265
13	3447.684591
14	3401.967693
15	3360.916316
16	3318.087477
17	3278.443048
18	3241.885978
19	3208.542816
20	3172.582648
21	3139.842679
22	3109.446253
23	3077.970626
24	3044.846385
25	3015.912733
26	2987.800621
27	2968.628859
28	2942.110551
29	2918.454995
30	2894.086985
31	2869.880726
32	2847.714534
33	2822.580857
34	2804.691833
35	2785.049141
36	2765.710831
37	2743.262732
38	2723.598183
39	2705.069955
40	2695.19104
41	2682.147024
42	2671.364815
43	2653.261058
44	2645.725046
45	2632.333775
46	2620.06535
47	2609.351519
48	2596.376216
49	2583.685199
50	2573.446526
51	2560.632306
52	2551.002133
53	2538.001626
54	2524.936801
55	2511.104011
56	2499.39719
57	2487.267266
58	2475.465759
59	2466.157538
60	2454.57654
61	2448.268757
62	2437.915271
63	2429.515597
64	2418.605954
65	2409.370471
66	2399.853503
67	2392.348758
68	2385.79157
69	2379.104402
70	2372.036826
71	2368.302846
72	2366.433477
73	2360.485138
74	2350.298776
75	2342.564451
76	2340.471132
77	2332.448962
78	2327.18621
79	2319.925691
80	2314.981875
81	2310.012938
82	2304.901351
83	2301.33258
84	2292.273998
85	2284.453624
86	2280.093304
87	2274.45584
88	2266.082086
89	2258.02802
90	2257.180636
91	2250.992803
92	2242.805745
93	2237.708979
94	2234.361845
95	2227.103594
96	2222.165327
97	2214.516705
98	2208.588611
99	2204.766208
100	2199.982943
101	2192.82054
102	2189.109167
103	2184.251579
104	2180.190707
105	2175.752655
106	2168.246681
107	2164.533865
108	2159.854003
109	2155.763894
110	2150.113512
111	2145.129329
112	2141.554141
113	2137.312601
114	2132.47431
115	2128.264302
116	2124.448511
117	2120.25
118	2116.617402
119	2111.79581
120	2108.852241
121	2104.757921
122	2100.56477
123	2097.819571
124	2090.047192
125	2085.498951
126	2082.094186
127	2074.440566
128	2068.088963
129	2061.636433
130	2057.406202
131	2054.212358
132	2048.836919
133	2043.629553
134	2038.099506
135	2034.636747
136	2029.549547
137	2029.246858
138	2025.377756
139	2021.481362
140	2020.581872
141	2018.924369
142	2014.239001
143	2009.204445
144	2006.08539
145	2003.628403
146	2001.423364
147	1998.674556
148	1995.296162
149	1992.36542
150	1989.385139
151	1986.72192
152	1980.851277
153	1977.40865
154	1971.62435
155	1968.522318
156	1965.384196
157	1961.887153
158	1959.079547
159	1955.71188
160	1954.08319
161	1952.134808
162	1949.538633
163	1943.81179
164	1939.645267
165	1934.616015
166	1930.698734
167	1928.676147
168	1923.386342
169	1918.421252
170	1915.51544
171	1911.604713
172	1907.573045
173	1902.852413
174	1899.749108
175	1895.887405
176	1893.461811
177	1891.582808
178	1888.790981
179	1884.942705
180	1881.055801
181	1875.584475
182	1873.703952
183	1869.16295
184	1865.310662
185	1862.43153
186	1860.920135
187	1856.670363
188	1853.268483
189	1850.524686
190	1849.179889
191	1847.783447
192	1844.977603
193	1842.245509
194	1838.537447
195	1836.601229
196	1832.362604
197	1829.235666
198	1827.475407
199	1824.442768
200	1823.194621
201	1818.748955
202	1815.362614
203	1813.51779
204	1810.114647
205	1806.290716
206	1802.477442
207	1796.977796
208	1793.144076
209	1789.940733
210	1788.983814
211	1785.667003
212	1783.950693
213	1781.595911
214	1776.66658
215	1774.440774
216	1773.051059
217	1771.136845
218	1768.897524
219	1765.594908
220	1763.952191
221	1761.82426
222	1759.264959
223	1756.013249
224	1754.16822
225	1750.282448
226	1747.254527
227	1745.340438
228	1741.282675
229	1738.574501
230	1736.222324
231	1735.141563
232	1732.439074
233	1727.73402
234	1725.833947
235	1724.167275
236	1722.065721
237	1719.560535
238	1717.870132
239	1715.531365
240	1712.606786
241	1710.937355
242	1709.360281
243	1706.840663
244	1704.767971
